movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
The Big Short,7.8,2015,R,Biography,Adam McKay,Ryan Gosling,"Biography, Comedy, Drama, History",130.0,Biography,Comedy,Drama,History,,,,,4,2010,Good,Long
Our Brand Is Crisis,6.1,2015,R,Comedy,David Gordon Green,Dominic Flores,"Comedy, Drama",107.0,Comedy,Drama,,,,,,,2,2010,Average,Medium
Accidental Love,4.0,2015,PG-13,Comedy,David O. Russell,Jake Gyllenhaal,"Comedy, Romance",100.0,Comedy,Romance,,,,,,,2,2010,Poor,Medium
Selfless,6.5,2015,PG-13,Action,Tarsem Singh,Ryan Reynolds,"Action, Mystery, Sci-Fi, Thriller",117.0,Action,Mystery,Sci-Fi,Thriller,,,,,4,2010,Average,Medium
Legend,7.0,2015,R,Biography,Brian Helgeland,Tom Hardy,"Biography, Crime, Drama, History, Thriller",132.0,Biography,Crime,Drama,History,Thriller,,,,5,2010,Average,Long
The 33,6.9,2015,PG-13,Biography,Patricia Riggen,Marco Treviño,"Biography, Drama, History",127.0,Biography,Drama,History,,,,,,3,2010,Average,Long
Forsaken,6.3,2015,R,Drama,Jon Cassar,Demi Moore,"Drama, Western",90.0,Drama,Western,,,,,,,2,2010,Average,Short
The Transporter Refueled,5.1,2015,PG-13,Action,Camille Delamarre,Ed Skrein,"Action, Crime, Thriller",96.0,Action,Crime,Thriller,,,,,,3,2010,Average,Medium
Max,6.8,2015,PG,Adventure,Boaz Yakin,Jay Hernandez,"Adventure, Family",111.0,Adventure,Family,,,,,,,2,2010,Average,Medium
Spotlight,8.1,2015,R,Biography,Tom McCarthy,Billy Crudup,"Biography, Crime, Drama, History",128.0,Biography,Crime,Drama,History,,,,,4,2010,Excellent,Long
Secret in Their Eyes,6.2,2015,PG-13,Crime,Billy Ray,Julia Roberts,"Crime, Drama, Mystery, Thriller",111.0,Crime,Drama,Mystery,Thriller,,,,,4,2010,Average,Medium
Burnt,6.6,2015,R,Comedy,John Wells,Bradley Cooper,"Comedy, Drama",101.0,Comedy,Drama,,,,,,,2,2010,Average,Medium
Little Boy,7.4,2015,PG-13,Drama,Alejandro Monteverde,Tom Wilkinson,"Drama, War",106.0,Drama,War,,,,,,,2,2010,Good,Medium
Courage,7.0,2015,PG,Biography,Angelo Pizzo,Donny Boaz,"Biography, Drama, Sport",118.0,Biography,Drama,Sport,,,,,,3,2010,Average,Medium
By the Sea,5.3,2015,R,Drama,Angelina Jolie Pitt,Brad Pitt,"Drama, Romance",122.0,Drama,Romance,,,,,,,2,2010,Average,Long
Regression,5.7,2015,R,Crime,Alejandro Amenábar,Emma Watson,"Crime, Drama, Mystery, Thriller",106.0,Crime,Drama,Mystery,Thriller,,,,,4,2010,Average,Medium
Survivor,5.6,2015,PG-13,Action,James McTeigue,Milla Jovovich,"Action, Crime, Thriller",96.0,Action,Crime,Thriller,,,,,,3,2010,Average,Medium
Love the Coopers,5.7,2015,PG-13,Comedy,Jessie Nelson,Olivia Wilde,Comedy,107.0,Comedy,,,,,,,,1,2010,Average,Medium
Steve Jobs,7.2,2015,R,Biography,Danny Boyle,Kate Winslet,"Biography, Drama",122.0,Biography,Drama,,,,,,,2,2010,Good,Long
"McFarland, USA",7.4,2015,PG,Biography,Niki Caro,Morgan Saylor,"Biography, Drama, Sport",129.0,Biography,Drama,Sport,,,,,,3,2010,Good,Long
Krampus,6.2,2015,PG-13,Comedy,Michael Dougherty,Adam Scott,"Comedy, Fantasy, Horror",98.0,Comedy,Fantasy,Horror,,,,,,3,2010,Average,Medium
The Assassin,6.4,2015,NOT RATED,Action,Hsiao-Hsien Hou,Qi Shu,"Action, Drama",105.0,Action,Drama,,,,,,,2,2010,Average,Medium
Chiamatemi Francesco - Il Papa della gente,5.7,2015,R,Biography,Daniele Luchetti,Maximilian Dirr,Biography,98.0,Biography,,,,,,,,1,2010,Average,Medium
Magic Mike XXL,5.7,2015,R,Comedy,Gregory Jacobs,Matt Bomer,"Comedy, Drama, Music",115.0,Comedy,Drama,Music,,,,,,3,2010,Average,Medium
Broken Horses,5.7,2015,R,Action,Vidhu Vinod Chopra,María Valverde,"Action, Crime, Drama, Mystery, Thriller",101.0,Action,Crime,Drama,Mystery,Thriller,,,,5,2010,Average,Medium
Hot Tub Time Machine 2,5.1,2015,R,Comedy,Steve Pink,Adam Scott,"Comedy, Sci-Fi",99.0,Comedy,Sci-Fi,,,,,,,2,2010,Average,Medium
Ex Machina,7.7,2015,R,Drama,Alex Garland,Elina Alminas,"Drama, Mystery, Sci-Fi, Thriller",108.0,Drama,Mystery,Sci-Fi,Thriller,,,,,4,2010,Good,Medium
Room,8.3,2015,R,Drama,Lenny Abrahamson,Joan Allen,Drama,118.0,Drama,,,,,,,,1,2010,Excellent,Medium
The Vatican Tapes,4.5,2015,PG-13,Horror,Mark Neveldine,Djimon Hounsou,"Horror, Thriller",91.0,Horror,Thriller,,,,,,,2,2010,Poor,Medium
Paper Towns,6.4,2015,PG-13,Drama,Jake Schreier,Nat Wolff,"Drama, Mystery, Romance",109.0,Drama,Mystery,Romance,,,,,,3,2010,Average,Medium
Project Almanac,6.4,2015,PG-13,Sci-Fi,Dean Israelite,Gary Weeks,"Sci-Fi, Thriller",106.0,Sci-Fi,Thriller,,,,,,,2,2010,Average,Medium
10 Days in a Madhouse,7.5,2015,R,Drama,Timothy Hines,Christopher Lambert,Drama,111.0,Drama,,,,,,,,1,2010,Good,Medium
Dancin Its On,2.8,2015,PG,Family,David Winters,Gary Daniels,"Family, Musical",89.0,Family,Musical,,,,,,,2,2010,Poor,Short
A Tale of Three Cities,6.2,2015,R,Drama,Mabel Cheung,Wei Tang,Drama,130.0,Drama,,,,,,,,1,2010,Average,Long
Brooklyn,7.5,2015,PG-13,Drama,John Crowley,Julie Walters,"Drama, Romance",111.0,Drama,Romance,,,,,,,2,2010,Good,Medium
Woman in Gold,7.3,2015,PG-13,Biography,Simon Curtis,Ryan Reynolds,"Biography, Drama, History",109.0,Biography,Drama,History,,,,,,3,2010,Good,Medium
Insidious: Chapter 3,6.1,2015,PG-13,Fantasy,Leigh Whannell,Lin Shaye,"Fantasy, Horror, Thriller",97.0,Fantasy,Horror,Thriller,,,,,,3,2010,Average,Medium
Sinister 2,5.2,2015,R,Horror,Ciarán Foy,Laila Haley,"Horror, Mystery, Thriller",97.0,Horror,Mystery,Thriller,,,,,,3,2010,Average,Medium
The Second Best Exotic Marigold Hotel,6.6,2015,PG,Comedy,John Madden,Tina Desai,"Comedy, Drama",122.0,Comedy,Drama,,,,,,,2,2010,Average,Long
The Gift,7.1,2015,R,Mystery,Joel Edgerton,Busy Philipps,"Mystery, Thriller",108.0,Mystery,Thriller,,,,,,,2,2010,Good,Medium
